B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 1
B26, Blotteritem, {'type': 'Trade', 'time': 368.5999999998017, 'price': 104, 'party1': 'S18', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 386.0999999997858, 'price': 107, 'party1': 'S20', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 409.87499999976416, 'price': 111.0, 'party1': 'S24', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 441.2499999997356, 'price': 108, 'party1': 'S18', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 483.1374999996975, 'price': 105, 'party1': 'B26', 'party2': 'S03', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 500.14999999968205, 'price': 103, 'party1': 'S18', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 542.987499999784, 'price': 106, 'party1': 'B26', 'party2': 'S18', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 567.2999999998724, 'price': 107, 'party1': 'B26', 'party2': 'S04', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 582.1124999999263, 'price': 101, 'party1': 'B26', 'party2': 'S06', 'qty': 1}
B27, 19
B27, Blotteritem, {'type': 'Trade', 'time': 34.49999999999928, 'price': 115.0, 'party1': 'B27', 'party2': 'S24', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 58.27500000000469, 'price': 104, 'party1': 'S11', 'party2': 'B27', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 87.61250000001135, 'price': 103, 'party1': 'S19', 'party2': 'B27', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 99.87500000001414, 'price': 103.0, 'party1': 'B27', 'party2': 'S02', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 135.52500000001368, 'price': 103, 'party1': 'S20', 'party2': 'B27', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 182.08749999997133, 'price': 107, 'party1': 'S22', 'party2': 'B27', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 237.5249999999209, 'price': 104, 'party1': 'S13', 'party2': 'B27', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 249.23749999991026, 'price': 110.0, 'party1': 'S11', 'party2': 'B27', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 297.39999999986645, 'price': 109, 'party1': 'B27', 'party2': 'S20', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 317.2249999998484, 'price': 87, 'party1': 'B27', 'party2': 'S13', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 341.6374999998262, 'price': 110, 'party1': 'B27', 'party2': 'S02', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 377.43749999979366, 'price': 97.0, 'party1': 'B27', 'party2': 'S12', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 406.71249999976703, 'price': 99, 'party1': 'B27', 'party2': 'S15', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 445.5624999997317, 'price': 107, 'party1': 'S04', 'party2': 'B27', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 454.74999999972334, 'price': 102.0, 'party1': 'B27', 'party2': 'S07', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 496.51249999968536, 'price': 103, 'party1': 'B27', 'party2': 'S04', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 523.2999999997123, 'price': 99.0, 'party1': 'B27', 'party2': 'S08', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 552.7499999998195, 'price': 112, 'party1': 'S09', 'party2': 'B27', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 591.1874999999593, 'price': 103, 'party1': 'S20', 'party2': 'B27', 'qty': 1}
B28, 19
B28, Blotteritem, {'type': 'Trade', 'time': 32.89999999999892, 'price': 110.0, 'party1': 'B28', 'party2': 'S12', 'qty': 1}
B28, Blotteritem, {'type': 'Trade', 'time': 64.80000000000616, 'price': 102, 'party1': 'S18', 'party2': 'B28', 'qty': 1}
B28, Blotteritem, {'type': 'Trade', 'time': 106.03750000001554, 'price': 99, 'party1': 'B28', 'party2': 'S03', 'qty': 1}
B28, Blotteritem, {'type': 'Trade', 'time': 132.67500000001627, 'price': 104, 'party1': 'S09', 'party2': 'B28', 'qty': 1}
B28, Blotteritem, {'type': 'Trade', 'time': 154.56249999999636, 'price': 101, 'party1': 'S09', 'party2': 'B28', 'qty': 1}
B28, Blotteritem, {'type': 'Trade', 'time': 189.64999999996445, 'price': 106.0, 'party1': 'S16', 'party2': 'B28', 'qty': 1}
B28, Blotteritem, {'type': 'Trade', 'time': 234.26249999992388, 'price': 102, 'party1': 'S01', 'party2': 'B28', 'qty': 1}
B28, Blotteritem, {'type': 'Trade', 'time': 242.62499999991627, 'price': 106.0, 'party1': 'S22', 'party2': 'B28', 'qty': 1}
B28, Blotteritem, {'type': 'Trade', 'time': 279.6499999998826, 'price': 95, 'party1': 'S09', 'party2': 'B28', 'qty': 1}
B28, Blotteritem, {'type': 'Trade', 'time': 307.28749999985746, 'price': 97.0, 'party1': 'B28', 'party2': 'S06', 'qty': 1}
B28, Blotteritem, {'type': 'Trade', 'time': 333.6249999998335, 'price': 111.0, 'party1': 'S24', 'party2': 'B28', 'qty': 1}
B28, Blotteritem, {'type': 'Trade', 'time': 381.53749999978993, 'price': 99, 'party1': 'S01', 'party2': 'B28', 'qty': 1}
B28, Blotteritem, {'type': 'Trade', 'time': 393.9124999997787, 'price': 105, 'party1': 'S14', 'party2': 'B28', 'qty': 1}
B28, Blotteritem, {'type': 'Trade', 'time': 440.9124999997359, 'price': 105.0, 'party1': 'B28', 'party2': 'S03', 'qty': 1}
